=== Información de circuitos ejecutados ===
Circuito: tsp.py | Registros clásicos: c0 - c2 | Iteración: 1 | Batch: 1
Circuito: qaoa.py | Registros clásicos: c3 - c4 | Iteración: 1 | Batch: 1
Circuito: shor.py | Registros clásicos: c5 - c8 | Iteración: 1 | Batch: 1
Circuito: grover.py | Registros clásicos: c9 - c10 | Iteración: 1 | Batch: 1
Circuito: kickback.py | Registros clásicos: c11 - c12 | Iteración: 1 | Batch: 1
Circuito: qwalk.py | Registros clásicos: c13 - c15 | Iteración: 1 | Batch: 1
Circuito: bernstein-vazirani.py | Registros clásicos: c16 - c19 | Iteración: 1 | Batch: 1
Circuito: qft.py | Registros clásicos: c20 - c22 | Iteración: 1 | Batch: 1
Circuito: simon.py | Registros clásicos: c23 - c28 | Iteración: 1 | Batch: 1
Circuito: phase_estimation.py | Registros clásicos: c29 - c32 | Iteración: 1 | Batch: 1
Circuito: full_adder.py | Registros clásicos: c33 - c36 | Iteración: 1 | Batch: 2
Circuito: Deutsch-Jozsa.py | Registros clásicos: c37 - c40 | Iteración: 1 | Batch: 2
